Abbreviation,TeamName,GridPosition,Position,Status,Points,Laps,quali_position,quali_time_s,gap_to_pole_s,gap_to_pole_pct,q3_appearance,quali_sector1_gap,quali_sector2_gap,quali_sector3_gap,best_compound_used,fp2_avg_long_run_pace,fp2_tyre_deg_rate,air_temp,track_temp,humidity,wind_speed,is_wet_race,is_sprint_weekend,quali_position_delta,podium_finish,season,race_round,reg_era,driver_elo_pre,driver_elo_post,teammate_elo_pre,elo_vs_teammate_diff,EventName,circuit_type,dnf_type,is_driver_dnf,is_mech_dnf,is_dnf,driver_avg_finish_roll5,driver_avg_points_roll5,driver_error_dnf_rate_roll5,driver_avg_quali_roll5,driver_avg_quali_gap_roll5,team_avg_points_roll5,team_mech_dnf_rate_roll5,team_avg_quali_roll5
VET,Ferrari,3.0,1.0,Finished,25.0,58.0,3.0,81.838,0.6739999999999924,0.8304174264452127,1,0.3200000000000003,0.0630000000000023,0.2910000000000039,ULTRASOFT,96.027375,4.145535714285714,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,0.0,1,2018,1,pre_2022,1500.0,1506.4,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
HAM,Mercedes,1.0,2.0,Finished,18.0,58.0,1.0,81.164,0.0,0.0,1,0.0,0.0,0.0,ULTRASOFT,89.2073,0.0826969696969695,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,0.0,1,2018,1,pre_2022,1500.0,1516.0,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
RAI,Ferrari,2.0,3.0,Finished,15.0,58.0,2.0,81.828,0.6640000000000015,0.818096693115176,1,0.2940000000000005,0.1380000000000016,0.2319999999999993,ULTRASOFT,94.3515,1.882251748251749,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,0.0,1,2018,1,pre_2022,1500.0,1493.6,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
RIC,Red Bull Racing,8.0,4.0,Finished,12.0,58.0,5.0,82.152,0.9879999999999995,1.2172884530087225,1,0.541999999999998,0.3820000000000014,0.064,ULTRASOFT,90.65585714285716,-0.0976785714285684,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,-3.0,0,2018,1,pre_2022,1500.0,1506.4,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
ALO,McLaren,10.0,5.0,Finished,10.0,58.0,11.0,83.692,2.527999999999992,3.1146813858360747,0,0.8829999999999991,0.6340000000000003,0.916000000000004,ULTRASOFT,,,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,1.0,0,2018,1,pre_2022,1500.0,1516.0,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
VER,Red Bull Racing,4.0,6.0,Finished,8.0,58.0,4.0,81.879,0.7150000000000034,0.8809324330984222,1,0.2729999999999997,0.1750000000000007,0.267000000000003,ULTRASOFT,89.64809999999999,0.1206969696969704,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,0.0,0,2018,1,pre_2022,1500.0,1493.6,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
HUL,Renault,7.0,7.0,Finished,6.0,58.0,8.0,83.532,2.367999999999995,2.917549652555314,1,0.8460000000000001,0.5869999999999997,0.9350000000000024,ULTRASOFT,94.15454545454546,2.0874636363636427,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,1.0,0,2018,1,pre_2022,1500.0,1516.0,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
BOT,Mercedes,15.0,8.0,Finished,4.0,58.0,10.0,82.089,0.9249999999999972,1.1396678330294183,0,0.4710000000000001,0.2660000000000018,0.1880000000000024,ULTRASOFT,90.138375,-0.0833214285714256,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,-5.0,0,2018,1,pre_2022,1500.0,1484.0,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
VAN,McLaren,11.0,9.0,Finished,2.0,58.0,12.0,83.853,2.688999999999993,3.313045192449846,0,0.8689999999999998,0.718,1.102000000000004,ULTRASOFT,89.92399999999999,-0.0572500000000051,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,1.0,0,2018,1,pre_2022,1500.0,1484.0,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
SAI,Renault,9.0,10.0,Finished,1.0,58.0,9.0,83.577,2.4129999999999967,2.972992952540531,1,0.6969999999999992,0.6280000000000001,0.5720000000000027,ULTRASOFT,91.01433333333335,0.3416166666666577,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,0.0,0,2018,1,pre_2022,1500.0,1484.0,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
PER,Force India,12.0,11.0,Finished,0.0,58.0,13.0,84.005,2.840999999999994,3.500320339066574,0,0.9199999999999982,0.8030000000000008,1.118000000000002,ULTRASOFT,91.49971428571428,-0.0631071428571432,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,1.0,0,2018,1,pre_2022,1500.0,1516.0,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
OCO,Force India,14.0,12.0,Finished,0.0,58.0,15.0,84.786,3.622,4.462569612143315,0,1.166999999999998,0.8719999999999999,1.3000000000000045,ULTRASOFT,91.42683333333332,-0.4151142857142892,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,1.0,0,2018,1,pre_2022,1500.0,1484.0,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
LEC,Sauber,18.0,13.0,Finished,0.0,58.0,18.0,84.636,3.471999999999994,4.27775861219259,0,1.4549999999999983,0.8350000000000009,1.1820000000000022,ULTRASOFT,94.4349411764706,1.066879901960782,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,0.0,0,2018,1,pre_2022,1500.0,1506.4,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
STR,Williams,13.0,14.0,Finished,0.0,58.0,14.0,84.23,3.0660000000000025,3.77753683899266,0,1.1039999999999992,0.7050000000000018,1.256999999999998,ULTRASOFT,90.6503,-0.0144424242424263,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,1.0,0,2018,1,pre_2022,1500.0,1516.0,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
HAR,Toro Rosso,16.0,15.0,+1 Lap,0.0,57.0,16.0,84.532,3.367999999999995,4.149622985560094,0,1.2949999999999982,0.8760000000000012,1.1970000000000027,ULTRASOFT,90.6744,-0.0127636363636341,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,0.0,0,2018,1,pre_2022,1500.0,1516.0,1500.0,0.0,Australian Grand Prix,Street,none,0,0,0,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
GRO,Haas F1 Team,6.0,16.0,Wheel,0.0,24.0,7.0,83.339,2.174999999999997,2.6797594992853937,1,0.847999999999999,0.6180000000000021,0.7090000000000032,ULTRASOFT,91.42877777777778,-0.1048500000000039,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,1.0,0,2018,1,pre_2022,1500.0,1506.4,1500.0,0.0,Australian Grand Prix,Street,mechanical,0,1,1,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
MAG,Haas F1 Team,5.0,17.0,Wheel,0.0,22.0,6.0,83.187,2.022999999999996,2.492484352668666,1,0.791999999999998,0.5660000000000025,0.6649999999999991,ULTRASOFT,92.05883333333334,-0.5461428571428664,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,1.0,0,2018,1,pre_2022,1500.0,1493.6,1500.0,0.0,Australian Grand Prix,Street,mechanical,0,1,1,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
GAS,Toro Rosso,20.0,18.0,Engine,0.0,13.0,20.0,85.295,4.131,5.089694938642748,0,1.4480000000000004,1.0779999999999994,1.605000000000004,ULTRASOFT,94.79441666666666,2.0119265734265777,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,0.0,0,2018,1,pre_2022,1500.0,1484.0,1500.0,0.0,Australian Grand Prix,Street,mechanical,0,1,1,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
ERI,Sauber,17.0,19.0,Steering,0.0,5.0,17.0,84.556,3.391999999999996,4.17919274555221,0,1.1140000000000008,0.9740000000000002,1.304000000000002,ULTRASOFT,93.451,0.9698500000000008,24.077477477477483,36.32432432432432,30.91531531531532,3.691891891891892,1,0,0.0,0,2018,1,pre_2022,1500.0,1493.6,1500.0,0.0,Australian Grand Prix,Street,mechanical,0,1,1,12.0,2.0,0.05,12.0,3.0,4.0,0.1,12.0
